date,close,volume,7_Days_MA,14_Days_MA,21_Days_MA,7_Days_SD,O-C,H-L
2020-01-02,1534.3,18.81,1512.8428571428572,1498.7285714285715,1492.1809523809522,16.458316757073348,-5.5,10.700000000000045
2020-01-03,1558.7,19.19,1519.6571428571428,1502.5642857142855,1495.0238095238096,13.366233219428475,-6.7999999999999545,14.099999999999909
2020-01-06,1575.1,19.72,1528.8428571428572,1508.3357142857144,1498.3,15.098107733845692,-20.799999999999955,25.5
2020-01-07,1580.5,48.64,1538.0571428571427,1514.6357142857144,1502.561904761905,20.73771581304939,-2.8999999999998636,26.799999999999955
2020-01-08,1566.5,45.63,1546.6571428571428,1521.3785714285716,1506.938095238095,24.3196667427027,-7.400000000000091,22.0
2020-01-09,1560.6,55.74,1552.7142857142858,1527.1000000000001,1511.5,23.01002886941578,16.799999999999955,59.799999999999955
2020-01-10,1566.4,35.81,1557.857142857143,1532.542857142857,1515.790476190476,19.42248328980528,3.7000000000000455,20.899999999999864
2020-01-13,1557.0,47.51,1563.1571428571428,1538.0,1520.204761904762,14.856183577086247,-6.300000000000182,17.299999999999955
2020-01-14,1550.9,82.13,1566.3999999999999,1543.0285714285715,1523.842857142857,8.71588587961982,12.5,16.09999999999991
2020-01-15,1560.1,43.9,1565.2857142857142,1547.0642857142855,1527.3190476190478,10.231231364698322,4.5,12.799999999999955
2020-01-16,1556.5,44.84,1563.142857142857,1550.6000000000001,1530.804761904762,9.367471580390301,-7.199999999999818,11.899999999999864
2020-01-17,1566.5,32.58,1559.7142857142858,1553.185714285714,1534.157142857143,5.58373488249558,6.099999999999909,10.300000000000182
2020-01-21,1564.1,37.82,1559.7142857142858,1556.2142857142858,1537.9714285714285,5.583734882495581,-8.200000000000045,12.0
2020-01-22,1562.9,68.33,1560.2142857142858,1559.0357142857142,1541.7666666666667,5.827643483547215,0.10000000000013642,22.700000000000045
2020-01-23,1571.6,76.26,1559.7142857142858,1561.435714285714,1545.2380952380952,5.338048510894639,1.5,9.400000000000091
2020-01-24,1578.2,69.9,1561.8,1564.1000000000001,1549.2857142857142,6.762888929042508,-6.899999999999864,16.200000000000045
2020-01-27,1583.7,124.27,1565.7,1565.4928571428572,1553.2761904761905,7.281254470663694,-9.799999999999955,19.5
2020-01-28,1575.8,138.92,1569.0714285714287,1566.107142857143,1556.757142857143,9.408987597979676,2.3999999999998636,13.100000000000136
2020-01-29,1576.0,194.66,1571.8285714285714,1565.7714285714287,1559.4,7.801648177506895,11.299999999999955,18.09999999999991
2020-01-30,1595.1,238.02,1573.185714285714,1566.4500000000003,1561.8714285714284,7.542198744705795,-4.0,15.099999999999909
2020-01-31,1593.8,13.36,1577.6142857142856,1568.9142857142856,1565.2285714285715,10.014227973470259,-7.7999999999999545,13.400000000000091
2020-02-03,1588.3,6.87,1582.0285714285715,1570.8714285714286,1568.3000000000002,9.226540392742809,-8.899999999999864,20.0
2020-02-04,1561.4,3.91,1584.4142857142856,1573.1071428571427,1570.8714285714286,8.180348112272414,15.299999999999955,24.800000000000182
2020-02-05,1568.7,6.79,1582.0142857142857,1573.857142857143,1571.0,11.9179736212983,27.0,30.899999999999864
2020-02-06,1575.8,10.77,1579.8714285714286,1574.4714285714288,1570.695238095238,12.874485657774855,-5.2999999999999545,14.799999999999955
2020-02-07,1579.2,3.2,1579.8714285714286,1575.85,1570.4714285714285,12.874485657774855,-11.299999999999955,15.599999999999909
2020-02-10,1585.4,5.77,1580.3285714285716,1576.757142857143,1571.0761904761905,12.770501724113396,-3.5,13.299999999999955
2020-02-11,1575.9,4.94,1578.9428571428573,1578.2785714285715,1572.257142857143,11.34751913309964,-3.800000000000182,8.5
2020-02-12,1577.3,12.95,1576.3857142857141,1579.2071428571428,1572.709523809524,9.267762867666843,5.699999999999818,12.199999999999818
2020-02-13,1584.5,17.8,1574.814285714286,1579.6142857142856,1573.6761904761904,7.7130686870600575,-0.599999999999909,8.700000000000045
2020-02-14,1591.9,4.72,1578.1142857142859,1580.0642857142855,1575.2761904761905,5.694859837722423,-9.900000000000091,12.5
2020-02-18,1609.3,16.79,1581.4285714285713,1580.6499999999999,1576.790476190476,6.043099173348082,-6.600000000000136,11.699999999999818
2020-02-19,1617.5,17.65,1586.2142857142858,1583.042857142857,1579.304761904762,11.575322683967133,-18.899999999999864,26.299999999999955
2020-02-20,1626.2,6.16,1591.685714285714,1586.0071428571428,1581.7333333333333,15.937213115994508,-7.2999999999999545,13.400000000000091
2020-02-21,1654.6,15.7,1597.5142857142857,1588.2285714285715,1584.6904761904761,20.15725085185539,-6.2000000000000455,19.40000000000009
2020-02-24,1682.4,19.99,1608.757142857143,1592.5714285714287,1589.0571428571427,26.90934516376627,-26.299999999999955,29.800000000000182
2020-02-25,1655.8,40.17,1623.7714285714285,1599.2928571428572,1594.3333333333333,34.64196464240383,-22.100000000000136,38.200000000000045
2020-02-26,1648.9,23.32,1633.9571428571428,1606.0357142857142,1598.0285714285715,31.51120737889972,14.200000000000045,37.40000000000009
2020-02-27,1648.2,20.86,1642.1000000000001,1611.7642857142857,1601.1333333333334,25.651770569166583,-5.900000000000091,30.299999999999955
2020-02-28,1571.8,22.88,1647.6571428571428,1616.9357142857145,1604.5809523809523,21.186777098212605,1.7000000000000455,25.799999999999955
2020-03-02,1599.5,65.34,1641.1285714285716,1616.4071428571428,1604.3809523809523,34.73656643393065,79.90000000000009,87.0
